format,print_mode,material,quantity,eur,dkk_base,tier_multiplier,dkk_final,detail_url
21x21 salgsmappe med UV lak,4+4,"0,40 mm starker Chromokarton 255g für 5mm",3000,949.8,7123.5,1.4,9973,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-hochglanzuvlack.html
21x21 salgsmappe med UV lak,4+4,"0,40 mm starker Chromokarton 255g für 5mm",4000,1044.49,7833.675,1.4,10967,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-hochglanzuvlack.html
21x21 salgsmappe med UV lak,4+4,"0,40 mm starker Chromokarton 255g für 5mm",5000,1139.17,8543.775,1.4,11961,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-hochglanzuvlack.html
A4 salgsmappe med UV lak,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",50,161.87,1214.025,1.6,1942,https://www.wir-machen-druck.de/mappe-fuer-din-a4-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
A4 salgsmappe med UV lak,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",75,170.27,1277.025,1.6,2043,https://www.wir-machen-druck.de/mappe-fuer-din-a4-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
A4 salgsmappe med UV lak,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",100,182.62,1369.65,1.6,2191,https://www.wir-machen-druck.de/mappe-fuer-din-a4-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
A4 salgsmappe med UV lak,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",150,197.52,1481.4,1.6,2370,https://www.wir-machen-druck.de/mappe-fuer-din-a4-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
A4 salgsmappe med UV lak,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",200,201.26,1509.45,1.6,2415,https://www.wir-machen-druck.de/mappe-fuer-din-a4-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
A4 salgsmappe med UV lak,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",250,211.42,1585.65,1.6,2537,https://www.wir-machen-druck.de/mappe-fuer-din-a4-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
A4 salgsmappe med UV lak,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",500,275.73,2067.975,1.5,3102,https://www.wir-machen-druck.de/mappe-fuer-din-a4-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
A4 salgsmappe med UV lak,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",750,344.9,2586.75,1.5,3880,https://www.wir-machen-druck.de/mappe-fuer-din-a4-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
A4 salgsmappe med UV lak,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",1000,367.97,2759.775,1.5,4140,https://www.wir-machen-druck.de/mappe-fuer-din-a4-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
A4 salgsmappe med UV lak,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",1500,611.22,4584.15,1.5,6876,https://www.wir-machen-druck.de/mappe-fuer-din-a4-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
A4 salgsmappe med UV lak,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",2000,669.23,5019.225,1.4,7027,https://www.wir-machen-druck.de/mappe-fuer-din-a4-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
A4 salgsmappe med UV lak,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",2500,727.24,5454.3,1.4,7636,https://www.wir-machen-druck.de/mappe-fuer-din-a4-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
A4 salgsmappe med UV lak,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",3000,1066.86,8001.45,1.4,11202,https://www.wir-machen-druck.de/mappe-fuer-din-a4-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
A4 salgsmappe med UV lak,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",4000,1180.05,8850.375,1.4,12391,https://www.wir-machen-druck.de/mappe-fuer-din-a4-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
A4 salgsmappe med UV lak,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",5000,1293.26,9699.45,1.4,13579,https://www.wir-machen-druck.de/mappe-fuer-din-a4-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
A4 salgsmappe med UV lak,4+0,"0,40 mm starker Chromokarton 255g für 5mm",50,148.59,1114.425,1.6,1783,https://www.wir-machen-druck.de/mappe-fuer-din-a4-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
A4 salgsmappe med UV lak,4+0,"0,40 mm starker Chromokarton 255g für 5mm",75,156.3,1172.25,1.6,1876,https://www.wir-machen-druck.de/mappe-fuer-din-a4-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
A4 salgsmappe med UV lak,4+0,"0,40 mm starker Chromokarton 255g für 5mm",100,167.64,1257.3,1.6,2012,https://www.wir-machen-druck.de/mappe-fuer-din-a4-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
A4 salgsmappe med UV lak,4+0,"0,40 mm starker Chromokarton 255g für 5mm",150,181.31,1359.825,1.6,2176,https://www.wir-machen-druck.de/mappe-fuer-din-a4-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
A4 salgsmappe med UV lak,4+0,"0,40 mm starker Chromokarton 255g für 5mm",200,184.75,1385.625,1.6,2217,https://www.wir-machen-druck.de/mappe-fuer-din-a4-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
A4 salgsmappe med UV lak,4+0,"0,40 mm starker Chromokarton 255g für 5mm",250,188.16,1411.2,1.6,2258,https://www.wir-machen-druck.de/mappe-fuer-din-a4-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
A4 salgsmappe med UV lak,4+0,"0,40 mm starker Chromokarton 255g für 5mm",500,245.39,1840.425,1.6,2945,https://www.wir-machen-druck.de/mappe-fuer-din-a4-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
A4 salgsmappe med UV lak,4+0,"0,40 mm starker Chromokarton 255g für 5mm",750,306.95,2302.125,1.5,3453,https://www.wir-machen-druck.de/mappe-fuer-din-a4-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
A4 salgsmappe med UV lak,4+0,"0,40 mm starker Chromokarton 255g für 5mm",1000,327.47,2456.025,1.5,3684,https://www.wir-machen-druck.de/mappe-fuer-din-a4-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
A4 salgsmappe med UV lak,4+0,"0,40 mm starker Chromokarton 255g für 5mm",1500,528.27,3962.025,1.5,5943,https://www.wir-machen-druck.de/mappe-fuer-din-a4-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
A4 salgsmappe med UV lak,4+0,"0,40 mm starker Chromokarton 255g für 5mm",2000,578.41,4338.075,1.5,6507,https://www.wir-machen-druck.de/mappe-fuer-din-a4-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
A4 salgsmappe med UV lak,4+0,"0,40 mm starker Chromokarton 255g für 5mm",2500,628.55,4714.125,1.5,7071,https://www.wir-machen-druck.de/mappe-fuer-din-a4-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
A4 salgsmappe med UV lak,4+0,"0,40 mm starker Chromokarton 255g für 5mm",3000,922.08,6915.6,1.4,9682,https://www.wir-machen-druck.de/mappe-fuer-din-a4-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
