fold_type,pages,orientation,format,material,surface,quantity,eur,dkk_base,tier_multiplier,dkk_final,detail_url
Folder midterfalset,4 sider,Lodret,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck,Glans,2500,56.05,420.375,1.6,673,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,Lodret,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck,Glans,3000,61.48,461.1,1.6,738,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,Lodret,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck,Glans,4000,73.65,552.375,1.6,884,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,Lodret,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck,Glans,5000,85.98,644.85,1.6,1032,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,Lodret,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck,Glans,6000,101.58,761.85,1.6,1219,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,Lodret,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck,Glans,7000,116.85,876.375,1.6,1402,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,Lodret,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck,Glans,8000,132.85,996.375,1.6,1594,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,Lodret,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck,Glans,9000,148.43,1113.225,1.6,1781,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,Lodret,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck,Glans,10000,162.81,1221.075,1.6,1954,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,Lodret,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck,Glans,12500,197.07,1478.025,1.6,2365,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,Lodret,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck,Glans,15000,227.92,1709.4,1.6,2735,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,Lodret,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck,Glans,20000,291.25,2184.375,1.5,3277,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,Lodret,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck,Matte,50,26.55,199.125,1.6,319,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,Lodret,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck,Matte,100,30.37,227.775,1.6,364,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,Lodret,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck,Matte,250,32.2,241.5,1.6,386,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,Lodret,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck,Matte,500,33.78,253.35,1.6,405,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,Lodret,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck,Matte,750,34.32,257.4,1.6,412,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,Lodret,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck,Matte,1000,34.85,261.375,1.6,418,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,Lodret,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck,Matte,1500,48.52,363.9,1.6,582,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,Lodret,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck,Matte,2000,52.83,396.225,1.6,634,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,Lodret,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck,Matte,2500,56.43,423.225,1.6,677,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,Lodret,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck,Matte,3000,62.36,467.7,1.6,748,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,Lodret,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck,Matte,4000,74.26,556.95,1.6,891,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,Lodret,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck,Matte,5000,85.68,642.6,1.6,1028,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,Lodret,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck,Matte,6000,101.12,758.4,1.6,1213,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,Lodret,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck,Matte,7000,117.48,881.1,1.6,1410,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,Lodret,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck,Matte,8000,132.34,992.55,1.6,1588,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,Lodret,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck,Matte,9000,148.02,1110.15,1.6,1776,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,Lodret,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck,Matte,10000,162.81,1221.075,1.6,1954,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,Lodret,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck,Matte,12500,197.55,1481.625,1.6,2371,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,Lodret,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck,Matte,15000,227.92,1709.4,1.6,2735,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,Lodret,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck,Matte,20000,291.25,2184.375,1.5,3277,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
